updateInventory: listingId - 372737525766, quantity: 0
updateInventory: listingId - 372911700702, quantity: 0
updateInventory: listingId - 372909972604, quantity: 0
updateInventory: listingId - 372911901324, quantity: 0
updateInventory: listingId - 372755390488, quantity: 0
updateInventory: listingId - 372916155933, quantity: 0
updateInventory: listingId - 372911878790, quantity: 0
updateInventory: listingId - 372911896951, quantity: 0
updateInventory: listingId - 372911822145, quantity: 0
updateInventory: listingId - 372736757869, quantity: 0
updateInventory: listingId - 372911885461, quantity: 0
updateInventory: listingId - 372909987468, quantity: 0
updateInventory: listingId - 372911874031, quantity: 0
updateInventory: listingId - 372755391897, quantity: 0
updateInventory: listingId - 372911723875, quantity: 0
updateInventory: listingId - 372916158370, quantity: 0
updateInventory: listingId - 372748612100, quantity: 0
updateInventory: listingId - 372911730782, quantity: 0
updateInventory: listingId - 372911813875, quantity: 0
updateInventory: listingId - 372911727056, quantity: 0
updateInventory: listingId - 372916153643, quantity: 0
updateInventory: listingId - 372911711035, quantity: 0
updateInventory: listingId - 372909703460, quantity: 0
updateInventory: listingId - 372911711599, quantity: 0
updateInventory: listingId - 372911727645, quantity: 0
updateInventory: listingId - 372909552924, quantity: 0
updateInventory: listingId - 372909725900, quantity: 0
updateInventory: listingId - 372911741580, quantity: 0
